CNTSCHID,Loneliness,ClassroomSafety,TeacherSupport,Gender,Homework_Math,Homework_Reading,Homework_Science,SchoolType,ParentsEducation,Immigration,HomeLanguage,Sibling,Aircon,Helper,Vehicle,Books,Exercise,OwnRoom,FamilyCommitment,Preference_Math,Preference_Reading,Preference_Science,Math,Reading,Science
70200105,Strongly Disagree,Agree,Some lessons,Male,> 4hr,> 4hr,> 4hr,Public,Tertiary,Native,English,1,Yes,No,1,26 - 100,7,Yes,10,Strongly Agree,Disagree,Strongly Agree,545.9981,451.6632,447.2217
70200003,Disagree,Strongly Agree,Most lesson,Male,0.5hr - 1hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,2nd Generation,Others,1,Yes,Yes,1,26 - 100,1,Yes,3,Agree,Agree,Agree,778.037,722.9521,783.7857
70200145,Strongly Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,≥3,Yes,Yes,≥3,101 - 200,10,Yes,0,Agree,Strongly Agree,Strongly Agree,447.4136,359.2644,359.883
70200059,Disagree,Agree,Most lesson,Male,0.5hr - 1hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,English,0,No,No,1,11 - 25,10,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,481.8474,387.5555,504.5473
70200148,Disagree,Strongly Agree,Every lesson,Female,0.5hr - 1hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,3rd Generation,Others,0,Yes,No,0,26 - 100,1,Yes,4,Strongly Agree,Disagree,Strongly Agree,636.1516,628.8775,586.6107
70200059,Strongly Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,3rd Generation,Others,0,Yes,No,0,11 - 25,2,Yes,2,Disagree,Disagree,Disagree,575.7562,500.01709999999997,533.3485
70200021,Disagree,Strongly Agree,Most lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Primary,Native,Others,≥3,No,No,0,1 - 10,10,Yes,2,Disagree,Agree,Agree,398.3332,361.0517,391.6599
70200001,Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Tertiary,Native,English,2,Yes,No,1,26 - 100,3,No,2,Disagree,Disagree,Agree,729.6971,683.7214,765.5523
70200038,Strongly Disagree,Strongly Agree,Most lesson,Female,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Post-Secondary,Native,English,≥3,Yes,No,2,1 - 10,0,Yes,10,Agree,Agree,Disagree,354.944,356.0913,338.4131
70200040,Disagree,Strongly Agree,Every lesson,Female,2hr - 3hr,0.5hr - 1hr,2hr - 3hr,Public,Post-Secondary,Native,Others,1,Yes,No,2,101 - 200,3,No,2,Disagree,Agree,Agree,621.5721,678.3428,647.51
70200026,Strongly Disagree,Strongly Agree,Most lesson,Male,2hr - 3hr,1hr - 2hr,1hr - 2hr,Public,Post-Secondary,Native,Others,1,Yes,No,0,101 - 200,1,Yes,3,Strongly Agree,Agree,Strongly Agree,540.188,456.0912,508.05809999999997
70200086,Disagree,Strongly Agree,Most lesson,Female,2hr - 3hr,2hr - 3hr,3 - 4 hr,Public,Post-Secondary,Native,English,1,Yes,No,0,1 - 10,0,No,9,Agree,Agree,Agree,466.9562,478.7161,507.8423
70200085,Disagree,Agree,Most lesson,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Secondary,Native,English,0,Yes,No,1,1 - 10,0,Yes,0,Agree,Disagree,Disagree,541.5101999999999,499.3541,475.4316
70200012,Disagree,Strongly Agree,Most lesson,Female,2hr - 3hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,English,2,Yes,No,1,101 - 200,3,Yes,1,Agree,Strongly Disagree,Agree,744.7164,726.5789,690.1578000000001
70200013,Agree,Disagree,Some lessons,Male,1hr - 2hr,1hr - 2hr,≤ 0.5hr,Public,Post-Secondary,Native,Others,2,No,No,0,11 - 25,0,Yes,1,Agree,Agree,Strongly Disagree,343.3011,332.8097,348.9951
70200159,Disagree,Strongly Agree,Most lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,English,≥3,Yes,No,1,26 - 100,2,No,1,Agree,Disagree,Agree,636.9098,573.5513,579.2846
70200124,Disagree,Agree,Most lesson,Female,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,2,Yes,No,1,11 - 25,1,No,0,Agree,Agree,Disagree,489.1652,505.8234,549.9648
70200053,Strongly Disagree,Agree,Every lesson,Female,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,Native,Others,1,Yes,No,0,201-500,3,Yes,5,Agree,Agree,Agree,682.2906,638.4543,684.6496999999999
70200146,Strongly Disagree,Agree,Every lesson,Female,3 - 4 hr,0.5hr - 1hr,3 - 4 hr,Public,Tertiary,Native,English,1,Yes,No,1,1 - 10,4,No,4,Strongly Agree,Strongly Disagree,Strongly Agree,533.8699,500.7814,479.2078
70200154,Agree,Agree,Most lesson,Male,1hr - 2hr,0.5hr - 1hr,2hr - 3hr,Public,Post-Secondary,Native,English,0,Yes,No,1,1 - 10,5,Yes,4,Agree,Disagree,Agree,626.5216,578.4043,629.5619
70200084,Disagree,Agree,Most lesson,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Post-Secondary,2nd Generation,Others,1,Yes,No,2,26 - 100,7,Yes,6,Agree,Agree,Agree,583.8719,524.3559,561.7463
70200052,Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,≥3,Yes,Yes,2,26 - 100,0,No,0,Disagree,Strongly Agree,Strongly Disagree,663.9253,700.9883,645.7886
70200044,Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Post-Secondary,3rd Generation,Others,1,Yes,No,0,26 - 100,3,Yes,10,Strongly Agree,Agree,Agree,676.5242,591.1595,654.6831
70200090,Strongly Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,2hr - 3hr,3 - 4 hr,Public,Tertiary,3rd Generation,Others,1,Yes,Yes,1,101 - 200,8,No,7,Strongly Agree,Disagree,Disagree,605.1292,563.3006,616.5986
70200089,Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,English,1,Yes,No,1,26 - 100,0,No,3,Strongly Agree,Disagree,Strongly Agree,692.7589,613.8827,681.9635000000001
70200112,Disagree,Agree,Most lesson,Female,2hr - 3hr,1hr - 2hr,1hr - 2hr,Public,Post-Secondary,Native,Others,2,Yes,No,0,26 - 100,0,Yes,3,Disagree,Disagree,Agree,630.555,619.6081,680.0962000000001
70200013,Agree,Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,English,2,No,Yes,1,26 - 100,2,No,10,Agree,Disagree,Strongly Agree,464.7863,400.59929999999997,483.5935
70200154,Strongly Disagree,Strongly Agree,Some lessons,Female,1hr - 2hr,≤ 0.5hr,2hr - 3hr,Public,Post-Secondary,Native,English,1,Yes,Yes,1,26 - 100,0,Yes,0,Agree,Disagree,Agree,590.9146000000001,623.369,589.8415
70200165,Strongly Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Private,Tertiary,3rd Generation,Others,1,Yes,No,1,26 - 100,10,Yes,0,Strongly Agree,Strongly Agree,Strongly Agree,511.0937,465.1832,477.195
70200020,Agree,Agree,Every lesson,Female,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,1,Yes,No,0,101 - 200,0,Yes,1,Disagree,Disagree,Disagree,612.9271,614.051,578.4932
70200036,Disagree,Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Secondary,Native,English,≥3,No,No,0,0,0,No,10,Strongly Disagree,Agree,Agree,395.6767,413.336,445.5987
70200116,Disagree,Strongly Agree,Every lesson,Female,≤ 0.5hr,0.5hr - 1hr,0.5hr - 1hr,Public,Tertiary,Native,English,2,Yes,Yes,1,201-500,0,Yes,0,Disagree,Strongly Agree,Agree,501.15229999999997,539.8552999999999,560.2733
70200065,Strongly Agree,Strongly Agree,Every lesson,Female,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,No,0,11 - 25,0,Yes,2,Agree,Agree,Agree,531.2343,554.568,503.8267
70200037,Agree,Strongly Agree,Most lesson,Female,3 - 4 hr,1hr - 2hr,> 4hr,Public,Post-Secondary,Native,Others,2,Yes,No,0,11 - 25,0,No,5,Disagree,Disagree,Agree,576.3685,503.8769,535.1631
70200004,Strongly Disagree,Agree,Most lesson,Female,0.5hr - 1hr,0.5hr - 1hr,≤ 0.5hr,Public,Post-Secondary,Native,English,≥3,Yes,No,0,>500,5,Yes,10,Agree,Agree,Disagree,399.3134,436.5385,439.27139999999997
